SAP Omnichannel Promotion Pricing ; The SAP Omnichannel Promotion Pricing solution allows you to calculate effective sales prices for one product or a set of products by applying promotional rules. In addition to the Calculation service, this solution includes the following services: A Data Upload service to import promotions and regular prices, a Data Access service to read promotions and regular prices, and an Administration service to delete obsolete promotions and regular prices.
Cloud Management Service ; Manage the control plane, account model, and product resources in SAP BTP using supported API interfaces provided by the SAP Cloud Management service for SAP BTP.
Cloud Foundry Runtime ; Build on open standards with SAP Java, Python, and Node.js buildpacks or bring your own language with community buildpacks for PHP, Ruby, Go. Start, stop, scale and configure distributed cloud applications using standard Cloud Foundry tools, our cockpit and dev-ops capabilities.
Workflow Management ; Digitize workflows, manage decisions and gain end-to-end process visibility
Service Manager ; SAP Service Manager service allows you to consume platform services in any connected runtime environment, track service instances creation, and share services and service instances between different environments.
Event Mesh ; The SAP Event Mesh service decouples communication and allows for event-driven business processes.
Service Ticket Intelligence Trial ; With Service Ticket Intelligence, incoming customers service tickets are automatically classified into their categories, and routed to the right agent. The agent is then provided with recommended solutions to improve operational efficiency. Service Ticket Intelligence leverages deep learning neural networks trained on large amounts of historical data. The model understands the semantics of unstructured ticket messages, classifies the ticket into their most likely categories and recommends solutions or knowledge base articles from similar previously answered tickets for the agent. With more processed service tickets and users feedback, the model improves over time.
Invoice Object Recommendation Trial ; The Invoice Object Recommendation services provides the functionality to train a machine learning model with customer specific data that can give recommendations on G/L Accounts and CostCenter for incoming invoices without a purchase order reference attached. The service therefore provides a training call as described and an inference call that gives back recommendations based on a trained model to semi-automate the invoice processing in the area of accounts payable.
Event Mesh ; The SAP Event Mesh service decouples communication and allows for event-driven business processes.
Promotion Pricing, Calculation Trial ; You use the Calculation service for SAP Omnichannel Promotion Pricing in your sales channel application, for example, in your Web shop to determine the effective sales prices by applying promotional rules in the relevant customer context. The service can be called for a single product or for an entire shopping cart. The calculation is based on the data you uploaded to the cloud environment, and sends back prices and additional information about customer rewards to the calling application.
Authorization and Trust Management Service ; The Authorization and Trust Management service lets you manage user authorizations and trust to identity providers. Identity providers are the user base for applications. You can use an identity authentication tenant, an SAP on-premise system, or a custom corporate identity provider. User authorizations are managed using technical roles at the application level, which can be aggregated into business-level groups and role collections for large-scale cloud scenarios.
Audit Log Viewer Service ; SAP Audit Log Viewer service for SAP BTP helps to view and manage audit logs.
Destination Service ; The Destination service lets you retrieve the backend destination details you need to configure applications in the Cloud Foundry environment.
SAP Business Application Studio ; SAP Business Application Studio is the next generation of SAP Web IDE, offering a modular development environment tailored for efficient development of business applications for the SAP Intelligent Enterprise. It provides pre-configured environments where you can develop, build, test and run using pre-installed runtimes and tools tailored for key scenarios such as: S/4HANA extensions, full stack business applications, Fiori applications and more. It supports quick integration with SAP solutions and services to allow building smarter and more intelligent applications.
Application Logging Service ; In the Cloud Foundry environment, the SAP Application Logging service for SAP BTP lets you stream logs of bound applications to a central application logging stack. SAP Application Logging service for SAP BTP uses Elastic Stack to store and visualize your application log data. To fully leverage this service, please also consider using one of SAP&apos;s open source libraries (for example, cf-java-logging-support or cf-nodejs-logging-support). In the Neo environment, the application logging allows you to configure loggers for Java applications through the cockpit or the console client. Furthermore, you can retrieve default trace logs, HTTP access logs, and garbage collection logs for the last 7 days.
Process Visibility ; Provides end-to-end visibility into processes that run in cloud, on-premise & in hybrid environments
Usage Data Management ; The Usage Data Management service broker allows you to use the new REST APIs to collect information about the monthly usage of services and applications in your SAP Cloud Platform accounts. You can build scripts and apps that react to the usage reports generated by this API. This information includes all the entity levels, namely global account, directories, subaccounts, orgs, spaces and instances for the relevant services.
SAP Intelligent Robotic Process Automation Trial ; SAP Intelligent Robotic Process Automation (SAP Intelligent RPA) lets you automate enterprise business processes. Design process automations with the Desktop Studio by creating end-to-end scenarios. Import these scenarios into the cloud Factory powered by SAP Cloud Platform to configure and execute them with Agents. Agents running on workstations can work as a Digital Assistant (attended automation) or as a Digital Worker (unattended automation).	
SAP HANA Schemas & HDI Containers Trial ; Use the SAP HANA schemas & HDI containers service to create service instances on SAP HANA databases and bind them to cloud applications. To create schemas and HDI containers, an SAP HANA database must be available in your space. The SAP HANA schemas & HDI containers service is part of the SAP HANA service.
SaaS Provisioning Service ; Service for application providers to register multitenant applications and services.
SAP Warehouse Insights Trial ; SAP Warehouse Insights is a business application for the optimization of warehouse operations and resource utilizations. You can use this application to optimize the assignment of warehouse orders to resources to minimize empty travel distances, analyze KPIs of warehouse operations such as workload and travel distances of resources, and visualize the warehouse layout and resource travel routes.
Cloud Transport Management ; SAP Cloud Transport Management service lets you manage software deliverables between accounts of different environments (such as Neo and Cloud Foundry), by transporting them across various runtimes. This includes application artifacts as well as their respective application-specific content.
Feature Flags ; View and manage Feature Flags Service instances. Get information about flags status, usage and history. Also perform tasks, such as enabling, disabling, adding and removing flags.
Document Classification ; Document Classification helps you to automate the management and processing of large amounts of business documents by applying machine learning. Based on customer specific classification models, Document Classification can be utilized in a wide range of business scenarios and adapted to special requirements. Document Classification is targeting organizations and business units struggling with the fast, economic, high quality and efficient processing of documents used in critical business processes like Enterprise Mail-Inbox Processing, Contract Management or Invoice Processing.
Integration Suite ; The SAP Integration Suite helps you to quickly develop and manage reliable communication between applications, services, and systems across heterogeneous landscapes.
HTML5 Application Repository Service ; The HTML5 Application Repository service enables central storage of HTML5 applications in SAP BTP. In runtime, the service enables the consuming application, typically the application router, to access HTML5 application static content in a secure and efficient manner.
Cloud Transport Management ; SAP Cloud Transport Management service lets you manage software deliverables between accounts of different environments (such as Neo and Cloud Foundry), by transporting them across various runtimes. This includes application artifacts as well as their respective application-specific content.
Kyma runtime ; SAP Cloud Platform, Kyma runtime is a fully managed Kubernetes runtime based on the open-source project Kyma. This cloud-native solution allows the developers to extend SAP solutions with serverless Functions and combine them with containerized microservices. The offered functionality ensures smooth consumption of SAP and non-SAP applications, running workloads in a highly scalable environment, and building event- and API-based extensions.
SAP HANA Schemas & HDI Containers ; Use the SAP HANA schemas & HDI containers service to create service instances on SAP HANA databases and bind them to cloud applications. To create schemas and HDI containers, an SAP HANA database must be available in your space. The SAP HANA schemas & HDI containers service is part of the SAP HANA service.
Credential Store ; The Credential Store provides a secure repository for passwords and keys to applications that are running on SAP Cloud Platform. It enables the applications to retrieve credentials and use them for authentication to external services, or to perform cryptographic operations and TLS communication. 
Redis, hyperscaler option ; The Redis service on SAP BTP provides a way to directly consume the Redis cache service provided by the Infrastructure providers such as AWS and Azure.
Job Scheduling Service ; The Job Scheduling Service allows you to define and manage jobs that run once or on recurring schedules. Use this runtime-agnostic service to schedule REST endpoint actions in your application or to schedule long-running processes using Cloud Foundry tasks. Use REST APIs to schedule your jobs, including long-running jobs asynchronously, and create multiple schedule formats for both simple and complex recurring schedules. The service dashboard is a web interface that lets you manage jobs and schedules.
Promotion Pricing, Data Access Trial ; You use the Data Access service (OData service) for SAP Omnichannel Promotion Pricing to read your promotional rules and regular prices. You can also check your uploaded data.
API Management, API portal ; API Management, API portal service drives innovation in modern business models. Based on APIs and digital assets, the service facilitates unified access from new channels and diverse user interfaces. This is possible by enabling developer communities to connect to your enterprise information and processes securely. Here, the access to backend services and complex landscapes are simplified with easy to consume APIs while protecting your systems from threats and overloaded access.
Document Information Extraction Trial UI ; UI Application to upload document for extraction to Document Information Extraction and correct the results.
Business Entity Recognition Trial ; Business Entity Recognition helps you to detect and highlight any given type of named entity in unstructured text into pre-defined categories. You can use Business Entity Recognition, for example, to automatically extract the context from incoming emails with invoice inquiries, automating recurring tasks of answering to status and payment of invoices.
Process Integration Runtime ; Provides access to SAP Cloud Platform Integration runtime (integration flows) and APIs.
Continuous Integration & Delivery ; SAP Continuous Integration and Delivery lets you configure and run predefined continuous integration and delivery (CI/CD) pipelines that automatically build, test and deploy your code changes to speed up your development and delivery cycles.
Promotion Pricing, Data Upload Trial ; You use the Data Upload service for SAP Omnichannel Promotion Pricing to send your promotional rules and regular prices from SAP Customer Activity Repository to your cloud environment. This data is the basis for the calculation of effective sales prices and is used by all services delivered with SAP Omnichannel Promotion Pricing.
Launchpad Service ; SAP Launchpad service provides users with a central point of access to applications from different sources.
Launchpad Service ; SAP Launchpad service provides users with a central point of access to applications from different sources.
Mobile Services ; Use Mobile Services to provide mobile access to enterprise information. Key features include app content lifecycle management, push notifications and support for offline apps, app security, app monitoring and usage reporting. Mobile Services can be used for native built apps, Mobile Development Kit apps and SAP Mobile Cards. Get started by clicking on the Support link below.
PostgreSQL, hyperscaler option ; The PostgreSQL service on SAP BTP provides a way to directly consume the PostgreSQL service provided by the infrastructure providers such as AWS and Azure.
Alert Notification ; SAP Cloud Platform Alert Notification offers a common API for providers to publish alerts and for consumers to subscribe to these alerts. It is designed to send automatically real-time notifications and alerts about SAP Cloud events that may be of interest to the business and operations.<br/><br/>SAP does not support EU Access for this service. By activating the service, you are accepting this limitation.
Business Rules ; SAP Business Rules service translates business-decision logic into natural language that is configurable directly by line-of-business key users or knowledge experts without IT or developer intervention. It provides web-based tools to solution architects and developers, enabling them to model, author, and simulate business rules independent of the backend system.
Promotion Pricing, Administration Trial ; You use the Administration service for SAP Omnichannel Promotion Pricing to delete obsolete promotional rules and obsolete regular prices in your cloud environment. You can delete your data based on various filters, for example, the expiry date.
SAP Intelligent Robotic Process Automation Trial ; SAP Intelligent Robotic Process Automation lets you automate enterprise business processes. Design process automations with the Desktop Studio by creating end-to-end scenarios. Import these scenarios into the cloud Factory to configure and execute them with Agents. An Agent can work as a Digital Assistant (attended automation) or as a Digital Worker (unattended automation).
Document Translation ; Provides an API that allows you to translate documents of various formats into multiple languages.
Print Service ; Manage print queues, connect print clients and monitor print status
Data Attribute Recommendation ; Data Attribute Recommendation uses free text, numbers and categories as input to classify entities such as products, stores and users into multiple classes and also to predict the value of missing numerical attributes in your data records. You can use Data Attribute Recommendation, for example, to classify incoming product information and predict the price of commodities based on their description.
Connectivity Service ; SAP BTP Connectivity service allows you to establish secure and reliable connectivity between your cloud applications and on-premise systems running in isolated networks.
API Management, API Business Hub Enterprise ; API Management technology helps you to share digital assets and enables consumption of these assets in new user interfaces. API Business Hub Enterprise application provides a common platform for application developers to consume APIs. It offers capabilities for onboarding application developers, exploring and testing APIs, and creating and subscribing to applications.
Personal Data Manager ; SAP Personal Data Manager provides the capability to generate reports showing the personal data stored in an application point of view with the help of a CSR. The reports can be generated and exported either in machine readable form (JSON) or human readable form (PDF). Data subjects can request the correction and deletion of personal data that is stored in an application point of view.
ABAP environment ; Access a shared instance to build custom ABAP cloud apps, leveraging newest innovations powered by SAP HANA.
SAP Customer Order Sourcing Trial ; With SAP Customer Order Sourcing, you can use the Strategy Builder app to create your own sourcing strategies that meet your business needs. These sourcing strategies can be assigned to your web shop, for example, to provide your customers with information on which and how many products are available to sell and when they can be delivered. These information are calculated based on availability raw data, source data, and temporary product reservations.
Workflow ; SAP Workflow service allows you to build, run, and manage workflows, from simple approvals to end-to-end processes that span across different organizations and applications. With an inbox application and custom-built user interfaces, you involve end users into business processes for decision making and data entry. The workflow service comes with web-based tools for workflow modeling, APIs for consumption in custom applications, monitoring tools, and a set of Fiori-based applications for end-user access. You can use JavaScript to embed custom business logic.
Workflow Management ; Digitize workflows, manage decisions and gain end-to-end process visibility
UI5 flexibility for key users ; The UI5 flexibility service for key users lets you provide UI adaptation capabilites for your UI5 applications on Cloud Foundry. Users of your applications can change the user interface of your applications in an upgrade-safe and modification-free way, without affecting any other customer.
Feature Flags ; The Feature Flags service allows you to enable or disable new features at runtime without redeploying or restarting the application. You can use feature flags to control code delivery, synchronized rollout, direct shipment, and fast rollback of features.
SAP Master Data Governance ; SAP Master Data Governance, cloud edition supports you in maintaining a high level of master data quality, offering capabilities to manage core attributes of business partners and to evaluate their quality.
Document Information Extraction Trial ; Document Information Extraction helps you to process various documents that have content in headers and tables. You can use the extracted information, for example, to automatically process payables, invoices, or payment notes while making sure that invoices and payables match.
UI Theme Designer ; The UI theme designer lets you apply your corporate branding to applications built with SAP UI technologies. You can make changes to theme templates supplied by SAP to create custom themes that use your own color scheme, background images, and company logo. You can apply a custom theme to various SAP UI clients and technologies. Additionally, you can include your own custom CSS files without having to modify any of your applications.
Audit Log Management Service ; SAP Audit Log Management service helps to retrieve logs and change retention.
SAP HANA Cloud ; SAP HANA Cloud allows you to leverage the in-memory data processing capabilities of SAP HANA in the cloud. As a managed database service, backups are fully automated and service availability guaranteed. Using SAP HANA Cloud, you can set up and manage SAP HANA databases and bind them to applications running on SAP Cloud Platform. You can access SAP HANA databases using a variety of languages and interfaces, as well as build applications and models using tools provided with SAP HANA. Furthermore, SAP HANA Cloud helps you to manage where and how data is stored and accessed, depending on performance needs.
SAP Customer Order Sourcing Trial ; With SAP Customer Order Sourcing, you can use the Strategy Builder app to create your own sourcing strategies that meet your business needs. These sourcing strategies can be assigned to your web shop, for example, to provide your customers with information on which and how many products are available to sell and when they can be delivered. These information are calculated based on availability raw data, source data, and temporary product reservations.
Audit Log Service API ; SAP Audit Log service API
Application Autoscaler ; The Application Autoscaler lets you automatically increase or decrease the number of application instances based on a policy you define.
Master Data Integration ; SAP Business Technology Platform Master Data Integration service offers master data synchronization across SAP solutions and is a central access layer for data sharing and distribution. The service can only be used for SAP to SAP Integration, and must not be directly accessed for 3rd party master data integration scenarios with SAP. SAP Business Technology Platform Master Data Orchestration is part of the master data integration service, and can only be used in conjunction with SAP Master Data Integration service.
Content Agent Service ; SAP Content Agent service allows you to assemble the content into MTAR and export it to the transport queue.
